Simulation,,Integration,Sea Ice,Initial Condition,OBCs,Atmospheric Forcing,Runoff,Output,Notes,CPP.keys,namelist,Output Location,NOTES,,,,,,,,,,,,,,
,,,Model,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANHA4,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEMO3.6 Reference22,ANHA4-ENG011A,2002 - 2018,LIM2,GLORYS2v3,GLORYS2v3,CGRF6,Interannual monthly with,5-day,Reference 3.6 experiment,CPP.keys,namelist_ocean,graham:/project/6007519/ANHA/ANHA4-ENG011A-S,,,,,,,,,,,,,,
,,,,,,,,Greenland melt,NORMAL,,,namelist_lim2,local:/mnt/storage4/nathan/RUNS/ANHA4-ENG011A-S,,,,,,,,,,,,,,
,,,,,,,,,"6-hourly T,S",,,XIOS configuration,,,,,,,,,,,,,,,
,,,,,,,,,GLOBAL,,,,,,,,,,,,,,,,,,
,Test Sea-ice Drag22,ANHA4-ENG011,2002 - 2016,LIM2,GLORYS2v3,GLORYS2v3,CGRF6,Interannual monthly with,5-day,Ice drag on the ocean: 3e-3,CPP.keys,namelist_ocean,graham:/project/6007519/ANHA/ANHA4-ENG011-S,,,,,,,,,,,,,,
,,,,,,,,Greenland melt,NORMAL,,,namelist_lim2,local:/mnt/storage4/nathan/RUNS/ANHA4-ENG011-S,,,,,,,,,,,,,,
,,,,,,,,,"6-hourly T,S",,,XIOS configuration,,,,,,,,,,,,,,,
,,,,,,,,,GLOBAL,,,,,,,,,,,,,,,,,,
,YOPP22,ANHA4-ECP010,2017 - 2018,LIM2,ANHA4-ENG011,GLORYS2v3,YOPP,Interannual monthly with,5-day,"YOPP: Year Of Polar Prediction, supplied by ECMWF",CPP.keys,namelist_ocean,graham:/project/6007519/pennelly/ANHA4/ANHA4-ECP010-S,,,,,,,,,,,,,,
,,,,,,,,Greenland melt,NORMAL,,,namelist_lim2,local:/mnt/storage4/clark/ANHA4-ECP010,,,,,,,,,,,,,,
,,,,,,,,,,,,XIOS configuration,,,,,,,,,,,,,,,
,Test Bottom friction22,ANHA4-ENG012,2002 - 2016,LIM2,GLORYS2v3,GLORYS2v3,CGRF6,Interannual monthly with,5-day,Linear Bottom Friction,CPP.keys,namelist_ocean,local:/mnt/storage4/nathan/RUNS/ANHA4-ENG012,,,,,,,,,,,,,,
,,,,,,,,Greenland melt,NORMAL,,,namelist_lim2,,,,,,,,,,,,,,,
,,,,,,,,,"6-hourly T,S",,,XIOS configuration,,,,,,,,,,,,,,,
,,,,,,,,,GLOBAL,,,,,,,,,,,,,,,,,,
,Test Mixing Depth22,ANHA4-ENG012B,2002 - 2006,LIM2,GLORYS2v3,GLORYS2v3,CGRF6,Interannual monthly with,5-day,Runoff Mixing depth: 10 m,CPP.keys,namelist_ocean,local:/mnt/storage4/nathan/RUNS/ANHA4-ENG012B-S,,,,,,,,,,,,,,
,,,,,,,,Greenland melt,NORMAL,,,namelist_lim2,,,,,,,,,,,,,,,
,,,,,,,,,"6-hourly T,S",,,XIOS configuration,,,,,,,,,,,,,,,
,,,,,,,,,GLOBAL,,,,,,,,,,,,,,,,,,
,Test Mixing Depth22,ANHA4-ENG012C,2002 - 2006,LIM2,GLORYS2v3,GLORYS2v3,CGRF6,Interannual monthly with,5-day,Runoff Mixing depth: 60 m.,CPP.keys,namelist_ocean,local:/mnt/storage4/nathan/RUNS/ANHA4-ENG012B-S,,,,,,,,,,,,,,
,,,,,,,,Greenland melt,NORMAL,,,namelist_lim2,,,,,,,,,,,,,,,
,,,,,,,,,"6-hourly T,S",,,XIOS configuration,,,,,,,,,,,,,,,
,,,,,,,,,GLOBAL,,,,,,,,,,,,,,,,,,
,Arctic HYPE Test,ANHA4-ENG16A,2002-2009,LIM2,GLORYS2v3,GLORYS2v3,ERA-Interim,HYPE/AHYPE,5-day normal,No tides,,,local: /mnt/storage4/yiran/ANHA4runoff/ANHA4-ENG016A,,,,,,,,,,,,,,
,DT and ERA,ANHA4-EPM021,2002-2009,LIM2,GLORYS2v3,GLORYS2v3,ERA-Interim,DT/Bamber2012,5-day normal,no tides (Arctic HYPE test twin),,,local: /mnt/storage4/yiran/ANHA4runoff/ANHA4-EPM021,,,,,,,,,,,,,,
,HB Runoff Pre-Dams,ANHA4-EPM025,2002-2015,LIM2,GLORYS2v3,GLORYS2v3,ERA-Interim,DT idealized for pre-dam HBC period,5-day normal,Also Bamber2012,,,,,,,,,,,,,,,,,
,HB Runoff Post-Dams,ANHA4-EPM026,2002-2015,LIM2,GLORYS2v3,GLORYS2v3,ERA-Interim,DT idealized for post-dam HBC period,5-day normal,Also Bamber2012,,,,,,,,,,,,,,,,,
,50 levels Bamber 2018 CGRF v3.6,ANHA4-ELG016,2002 - 2017,LIM2,GLORYS2v3,GLORYS2v3,CGRF,interannual monthly with Bamber 2018 Greenland 46% liquid and 54% solid,5-day,"50 vertical levels, Vertically-integrated ocean fields on ICB, tracers continuous",CPP.keys,namelist_ocean,graham: /project/6007519/lgillard/ANHA4/ANHA4-ELG016-S wessex:/mnt/storage5/gillard/ANHA4/ANHA4-ELG016-S,,,,,,,,,,,,,,
,,,,,,,,,NORMAL,,,namelist_lim2,,,,,,,,,,,,,,,
,,,,,,,,,,,,namelist_top,,,,,,,,,,,,,,,
