Simulation,Nemo,Integration,Sea Ice,IC/OBC,Atmospheric,Runoff,Output,Publications,GitHub,Other,Local,HPC
Name,Version,Period,Model,Data,Forcing,Product,Frequency,Available,Source,Notes,Storage,Storage
ANHA4,Basic,simulations,,,,,,,,,,
Nathans,Grivault's,Simuations,,,,,,,,,,
ENG011A,3.6,2002-2018,LIM2,GLORYS2v3,CMC GDPS,DT/Bamber,5day,N/A,N/A,3.6 ref case,/mnt/storage4/nathan/RUNS/ANHA4-ENG011A-S,N/A
ENG011,3.6,2002-2016,LIM2,GLORYS2v3,CMC GDPS,DT/Bamber,5day,N/A,N/A,ice drag 3e-3,/mnt/storage4/nathan/RUNS/ANHA4-ENG011-S,N/A
ENG012,3.6,2002-2016,LIM2,GLORYS2v3,CMC GDPS,DT/Bamber,5day,N/A,N/A,linear bottom friction,/mnt/storage4/nathan/RUNS/ANHA4-ENG012-S,N/A
ENG012B,3.6,2002-2006,LIM2,GLORYS2v3,CMC GDPS,DT/Bamber,5day,N/A,N/A,Runoff Mixing 10m,/mnt/storage4/nathan/RUNS/ANHA4-ENG012B-S,N/A
ENG012C,3.6,2002-2006,LIM2,GLORYS2v3,CMC GDPS,DT/Bamber,5day,N/A,N/A,Runoff Mixing 60m,/mnt/storage4/nathan/RUNS/ANHA4-ENG012B-S,N/A
ENG16A,3.6,2002-2009,LIM2,GLORYS2v3,CMC GDPS,HYPE/AHYPE,5day,N/A,N/A,Arctic HYPE,/mnt/storage4/yiran/ANHA4runoff/ANHA4-ENG016A,N/A
Clark,Pennelly's,Simuations,,,,,,,,,,
ECP010,3.6,2017-2018,LIM2,ENG011,YOPP,DT/Bamber,5day,N/A,N/A,Year of Polar Prediction,/mnt/storage5/clark/ANHA4-ECP010,N/A
Pauls,Myers',Simuations,,,,,,,,,,
EPM021,3.6,2002-2009,LIM2,GLORYS2v3,ERA-Interim,DT/Bamber2012,5day,N/A,N/A,twin of Arctic Hype,/mnt/storage4/yiran/ANHA4runoff/ANHA4-ENG016A,N/A
EPM025,3.6,2002-2015,LIM2,GLORYS2v3,ERA-Interim,DT PREdam HBC,5day,N/A,N/A,Bamber2021,No link supplied,N/A
EPM026,3.6,2002-2015,LIM2,GLORYS2v3,ERA-Interim,DT POSTdam HBC,5day,N/A,N/A,Bamber2021,No link supplied,N/A
Laura,Gillard's,Simuations,,,,,,,,,,
ELG016,3.6,2002-2017,LIM2,GLORYS2v3,CMC GDPS,Bamber 46/54% GRNLD liq/sol,5day,N/A,N/A,ICB,/mnt/storage5/gillard/NEMO/ANHA4/ANHA4-ELG016-S,/project/6007519/lgillard/ANHA4/ANHA4-ELG016-S
ELG012,3.6,2002-2017,LIM2,GLORYS2v3,CMC GDPS,DT/Bamber2012,5day,N/A,N/A,75levels runoff mixing 30m,no link supplied,N/A
ELG006,3.6,2002-2015,LIM2,GLORYS2v3,CMC GDPS,46/54% liquid/solid,5day,N/A,N/A,75 levels and ICB,/mnt/storage4/gillard/NEMO/ANHA4/ANHA4-ELG006-S,/project/6007519/lgillard/ANHA4/ANHA4-ELG006-S
ELG010A,3.6,2002-2017,LIM2,GLORYS2v3,CMC GDPS,Bamber2018 46/54% liq/sol,1day,N/A,N/A,75 levels and ICB,/mnt/storage4/gillard/NEMO/ANHA4/ANHA4-ELG010A-S,/project/6007519/lgillard/ANHA4/ANHA4-ELG010A-S
ELG010B,3.6,2002-2017,LIM2,GLORYS2v3,CMC GDPS,Bamber2018 73/27% liq/sol,1day,N/A,N/A,75 levels and ICB,no link supplied,N/A
ELG011A,3.6,2002-2017,LIM2,GLORYS2v3,CMC GDPS,RACMO 46/54% liq/sol,1day,N/A,N/A,75 levels and ICB,/mnt/storage4/gillard/NEMO/ANHA4/ANHA4-ELG011A-S,N/A
ELG013,3.6,2002-2015,LIM2,GLORYS2v3,DFS,Bamber2018 46/54% liq/sol,5day,N/A,N/A,75 levels and IBC,/mnt/storage5/gillard/NEMO/ANHA4/ANHA4-ELG013-S,/project/6007519/lgillard/ANHA4/ANHA4-ELG013-S
ELG016,3.6,2002-2017,LIM2,GLORYS2v3,CMC GDPS,Bamber2018 46/54% liq/sol,N/A,N/A,5day,50 levels and ICB,/mnt/storage5/gillard/NEMO/ANHA4/ANHA4-ELG016-S,/project/6007519/lgillard/ANHA4/ANHA4-ELG016-S
ELG018,3.6,2002-2017,LIM2,GLORYS2v3,DFS,Bamber2012 46/53% liq/sol,N/A,N/A,5day,75 levels and ICB,/mnt/storage5/gillard/NEMO/ANHA4/ANHA4-ELG018-S,/project/6007519/lgillard/ANHA4/ANHA4-ELG018-S
ELG019,3.6,2002-2017,LIM2,GLORYS2v3,DFS,Bamber2018 46/53% liq/sol,N/A,N/A,5day,75 levels and ICB,/mnt/storage5/gillard/NEMO/ANHA4/ANHA4-ELG019-S,/project/6007519/lgillard/ANHA4/ANHA4-ELG019-S
ELG020,3.6,2002-2017,LIM2,GLORYS2v3,DFS,RACMO 46/53% liq/sol,N/A,N/A,5day,75 levels and ICB,/mnt/storage5/gillard/NEMO/ANHA4/ANHA4-ELG020-S,/project/6007519/lgillard/ANHA4/ANHA4-ELG020-S
ELG022,3.6,2002-2017,LIM2,GLORYS2v3,CMC GDPS,Bamber2018 46/53% liq/sol,N/A,N/A,5day,75 levels and ICB,/mnt/storage5/gillard/NEMO/ANHA4/ANHA4-ELG022-S,/project/6007519/lgillard/ANHA4/ANHA4-ELG022-S
ELGISF001,3.6,2002-2017,LIM2,GLORYS2v3,CMC GDPS,Bamber2018 46/54% liq/iceshelf(95-105),N/A,N/A,5day,75 levels iceshelf melt,no link supplied,/project/6007519/lgillard/ANHA4/ANHA4-ELGISF001-S
ELGISF002,3.6,2002-2017,LIM2,GLORYS2v3,CMC GDPS,Bamber2018 23/22/25% liq/icb/iceshelf(90-120),N/A,N/A,5day,75 levels iceshelf melt and ICB,no link supplied,/project/6007519/lgillard/ANHA4/ANHA4-ELGISF002-S
ELGISF003,3.6,2002-2017,LIM2,GLORYS2v3,DFS,Bamber2018 23/22/25% liq/icb/iceshelf(90-120),N/A,N/A,5day,75 levels iceshelf melt and ICB,no link supplied,/project/6007519/lgillard/ANHA4/ANHA4-ELGISF002-S
ANHA4,With,Icebergs,,,,,,,,,,
ANHA4,With,Tides,,,,,,,,,,
ANHA4,With,BLING,,,,,,,,,,

